gen	nevals	avg     	std    	min     	max     
0  	100   	-648.659	360.957	-1000   	-165.513
1  	100   	-373.005	269.084	-1000   	-165.221
2  	100   	-225.744	49.6758	-387.569	-144.445
3  	100   	-196.886	44.0829	-387.569	-56.5101
4  	100   	-173.662	41.465 	-280.935	-40.6167
5  	100   	-156.641	45.9423	-268.723	-40.6167
6  	100   	-136.172	48.1345	-251.329	-28.1798
7  	100   	-118.504	48.5097	-209.497	-16.2441
8  	100   	-91.0246	49.0056	-169.603	76.0364 
9  	100   	-73.1348	42.2681	-169.603	76.0364 
10 	100   	-62.0661	37.817 	-169.603	76.0364 
11 	100   	-50.9166	37.1874	-169.603	96.7027 
12 	100   	-39.7686	31.1297	-162.254	96.7027 
13 	100   	-29.1261	37.667 	-162.254	112.579 
14 	100   	-15.85  	36.9171	-65.6611	112.579 
15 	100   	-6.47796	41.8459	-65.6611	112.579 
16 	100   	1.10111 	43.3744	-58.1446	112.579 
17 	100   	13.2717 	45.5918	-58.1446	112.579 
18 	100   	28.6295 	45.2239	-35.1551	112.579 
19 	100   	42.6551 	46.364 	-35.1551	133.562 
20 	100   	58.0935 	45.0119	-35.1551	167.127 
21 	100   	76.9007 	38.7907	-35.1551	167.127 
22 	100   	86.0257 	29.8758	-17.7302	167.127 
23 	100   	93.5876 	27.8648	-17.7302	167.127 
24 	100   	104.639 	29.1582	-17.7302	185.424 
25 	100   	114.026 	28.6161	-17.7302	185.424 
26 	100   	124.723 	26.1038	35.0496 	185.424 
27 	100   	132.743 	25.1843	35.0496 	185.424 
28 	100   	140.128 	22.7876	82.3604 	185.424 
29 	100   	147.322 	22.7947	95.6384 	199.471 
30 	100   	154.37  	22.8542	95.6384 	199.471 
31 	100   	159.955 	21.6635	98.2025 	199.471 
32 	100   	166.361 	20.2669	98.6228 	211.55  
33 	100   	171.086 	17.9889	123.158 	211.55  
34 	100   	176.37  	17.182 	124.542 	215.184 
35 	100   	180.055 	15.7821	125.887 	215.184 
36 	100   	184.244 	15.3431	125.887 	222.382 
37 	100   	187.096 	14.7269	125.887 	222.382 
38 	100   	190.8   	15.3913	125.887 	223.025 
39 	100   	194.309 	15.7481	125.887 	223.025 
40 	100   	197.792 	15.7472	125.887 	223.025 
41 	100   	202.517 	15.9776	125.887 	236.201 
42 	100   	206.904 	15.8543	125.887 	236.201 
43 	100   	213.23  	11.7102	177.41  	236.201 
44 	100   	217.351 	11.2097	177.41  	239.764 
45 	100   	219.906 	9.86713	177.41  	239.764 
46 	100   	222.035 	9.47743	177.41  	239.764 
47 	100   	224.286 	9.7136 	177.41  	243.475 
48 	100   	226.631 	8.93161	197.972 	243.958 
49 	100   	228.664 	8.859  	197.972 	243.958 
50 	100   	231.443 	7.2905 	199.954 	244.439 
51 	100   	232.97  	7.60063	199.954 	244.539 
52 	100   	234.307 	6.43141	221.571 	244.539 
53 	100   	235.483 	6.59718	222.067 	246.422 
54 	100   	236.773 	6.57714	222.067 	246.74  
55 	100   	237.948 	6.29142	222.067 	246.74  
56 	100   	239.666 	5.61489	222.701 	246.756 
57 	100   	240.624 	5.72993	222.701 	250.487 
58 	100   	241.43  	5.53022	222.701 	250.487 
59 	100   	242.424 	5.22499	222.701 	250.487 
60 	100   	243.136 	5.26854	222.701 	250.487 
61 	100   	243.737 	5.48929	222.701 	250.774 
62 	100   	244.653 	5.08817	222.701 	252.709 
63 	100   	245.245 	4.99931	222.701 	256.685 
64 	100   	246.16  	4.47481	223.716 	256.685 
65 	100   	247.308 	4.01701	228.535 	256.685 
66 	100   	247.725 	4.08024	228.535 	256.685 
67 	100   	248.343 	3.99969	228.535 	258.909 
68 	100   	249.116 	3.41861	231.676 	258.909 
69 	100   	249.823 	2.71801	238.208 	258.909 
70 	100   	250.544 	2.40887	244.215 	258.909 
71 	100   	250.886 	2.3813 	244.539 	258.909 
72 	100   	251.244 	2.34145	245.044 	258.909 
73 	100   	251.619 	2.35811	245.384 	258.909 
74 	100   	251.818 	2.42116	245.384 	258.909 
75 	100   	252.171 	2.55703	245.384 	258.909 
76 	100   	252.335 	2.59842	245.384 	258.909 
77 	100   	252.665 	2.62748	245.384 	258.909 
78 	100   	253.001 	2.70322	245.384 	258.909 
79 	100   	253.366 	2.90059	245.384 	264.65  
80 	100   	253.822 	3.07266	245.384 	264.65  
81 	100   	254.294 	3.15698	245.384 	264.65  
82 	100   	254.659 	3.32832	245.384 	264.65  
83 	100   	255.003 	3.19026	247.979 	264.65  
84 	100   	255.187 	3.37567	247.979 	264.65  
85 	100   	255.648 	3.22448	247.979 	264.65  
86 	100   	256.058 	3.30161	247.979 	264.65  
87 	100   	256.262 	3.26564	247.979 	264.65  
88 	100   	256.819 	3.46926	247.979 	264.65  
89 	100   	257.276 	3.27402	249.362 	265.212 
90 	100   	257.713 	3.415  	250.735 	265.212 
91 	100   	258.171 	3.44833	251.444 	265.212 
92 	100   	258.54  	3.544  	251.444 	265.212 
93 	100   	258.737 	3.56447	251.444 	265.212 
94 	100   	258.905 	3.55105	251.444 	265.212 
95 	100   	259.273 	3.59996	251.444 	265.212 
96 	100   	259.467 	3.57738	251.444 	265.212 
97 	100   	259.829 	3.55492	251.444 	265.212 
98 	100   	260.43  	3.68045	251.444 	265.212 
99 	100   	260.734 	3.62653	251.444 	265.212 
100	100   	261.262 	3.57355	253.909 	265.212 