gen	nevals	avg     	std    	min  	max  
0  	200   	-77.8465	290.531	-1000	181.2
1  	200   	10.545  	74.9584	-1000	181.2
2  	200   	19.0755 	29.2181	9.3  	219.4
3  	200   	22.6355 	34.5552	9.3  	219.4
4  	200   	26.967  	47.0235	9.3  	443.7
5  	200   	30.39   	48.7042	9.3  	443.7
6  	200   	33.718  	50.9197	9.3  	443.7
7  	200   	36.001  	52.2563	9.3  	443.7
8  	200   	40.7105 	56.817 	9.3  	443.7
9  	200   	45.4015 	59.8118	9.3  	443.7
10 	200   	48.9855 	61.7196	9.3  	443.7
11 	200   	53.333  	63.5762	9.3  	443.7
12 	200   	55.046  	64.0896	9.3  	443.7
13 	200   	63.1835 	72.6019	9.3  	461.3
14 	200   	69.41   	78.4258	9.3  	461.3
15 	200   	73.598  	78.5322	9.3  	461.3
16 	200   	81.568  	79.4829	11   	461.3
17 	200   	84.1645 	78.8922	11   	461.3
18 	200   	93.7635 	84.1557	11   	499.6
19 	200   	100.347 	84.5159	11   	499.6
20 	200   	108.87  	91.1593	11   	499.6
21 	200   	118.369 	96.2347	11   	499.6
22 	200   	121.23  	96.1614	11   	499.6
23 	200   	124.602 	98.7001	11   	499.6
24 	200   	128.809 	98.5074	11   	499.6
25 	200   	133.187 	98.0909	11   	499.6
26 	200   	135.802 	98.0805	11   	499.6
27 	200   	140.975 	97.0354	11   	499.6
28 	200   	144.373 	96.496 	11   	499.6
29 	200   	146.301 	96.1474	11   	499.6
30 	200   	149.887 	97.9021	11   	499.6
31 	200   	153.196 	96.7553	11   	499.6
32 	200   	155.96  	95.6768	11   	499.6
33 	200   	158.649 	94.718 	11   	499.6
34 	200   	159.752 	94.1598	11   	499.6
35 	200   	163.188 	93.4785	11   	499.6
36 	200   	166.018 	93.4095	11   	499.6
37 	200   	168.067 	92.7897	11   	499.6
38 	200   	171.561 	92.5688	11   	499.6
39 	200   	174.186 	91.8165	11   	499.6
40 	200   	175.972 	90.9559	19.9 	499.6
41 	200   	176.605 	90.3758	19.9 	499.6
42 	200   	179.433 	92.3059	19.9 	499.6
43 	200   	180.457 	91.7116	22   	499.6
44 	200   	182.955 	93.1592	22   	499.6
45 	200   	185.94  	91.9683	22   	499.6
46 	200   	188.032 	93.4483	23.8 	499.6
47 	200   	191.399 	94.3031	23.8 	499.6
48 	200   	195.288 	92.407 	23.8 	499.6
49 	200   	198.266 	93.6608	23.8 	499.6
50 	200   	199.952 	93.1458	23.8 	499.6
51 	200   	203.485 	93.6723	23.8 	499.6
52 	200   	206.001 	94.6652	23.8 	499.6
53 	200   	212.659 	96.0255	23.8 	499.6
54 	200   	214.885 	98.185 	23.8 	499.6
55 	200   	216.305 	98.0714	23.8 	499.6
56 	200   	217.87  	98.2562	23.8 	499.6
57 	200   	220.007 	98.1946	23.8 	499.6
58 	200   	222.456 	98.4729	23.8 	499.6
59 	200   	224.618 	98.8198	56.7 	499.6
60 	200   	226.078 	99.7454	56.7 	499.6
61 	200   	227.869 	99.0553	56.7 	499.6
62 	200   	229.265 	98.1921	56.7 	499.6
63 	200   	229.905 	98.0711	56.7 	499.6
64 	200   	232.507 	97.1118	56.7 	499.6
65 	200   	235.336 	96.3723	96.7 	499.6
66 	200   	236.864 	96.3397	96.7 	499.6
67 	200   	238.824 	95.0488	96.7 	499.6
68 	200   	241.995 	95.186 	96.7 	499.6
69 	200   	243.309 	96.0524	96.7 	499.6
70 	200   	245.887 	97.3261	96.7 	499.6
71 	200   	250.063 	99.8473	96.7 	500  
72 	200   	252.048 	100.32 	96.7 	500  
73 	200   	253.643 	100.309	96.7 	500  
74 	200   	255.067 	100.932	102.1	500  
75 	200   	255.343 	100.684	102.5	500  
76 	200   	257.462 	100.387	102.5	500  
77 	200   	258.78  	99.8415	102.5	500  
78 	200   	261.784 	101.25 	102.5	500  
79 	200   	263.19  	101.659	102.5	500  
80 	200   	264.359 	102.029	102.5	500  
81 	200   	265.993 	102.218	102.5	500  
82 	200   	267.95  	101.374	102.5	500  
83 	200   	268.933 	100.961	102.5	500  
84 	200   	271.628 	101.125	102.5	500  
85 	200   	273.983 	101.672	109.2	500  
86 	200   	275.62  	101.127	109.2	500  
87 	200   	276.864 	101.216	109.2	500  
88 	200   	278.389 	99.8905	109.2	500  
89 	200   	279.115 	99.7465	109.2	500  
90 	200   	280.478 	99.7798	109.2	500  
91 	200   	282.094 	100.533	113.1	500  
92 	200   	282.914 	100.015	113.1	500  
93 	200   	284.417 	99.6086	113.1	500  
94 	200   	286.207 	99.9752	113.1	500  
95 	200   	287.641 	100.382	113.1	500  
96 	200   	288.479 	99.8474	113.1	500  
97 	200   	289.337 	99.6911	113.1	500  
98 	200   	291.077 	100.301	113.1	500  
99 	200   	292.111 	100.123	113.1	500  
100	200   	293.666 	100.068	113.1	500  