gen	nevals	avg    	std    	min    	max    
0  	50    	988.772	1479.3 	-1000  	2219.42
1  	39    	1913.73	860.217	-1000  	2219.42
2  	37    	2119.72	447.399	-1000  	2232.18
3  	39    	2197.35	30.5249	2098.45	2232.18
4  	38    	2206.52	19.4836	2100.32	2232.18
5  	40    	2211.62	10.2374	2153.94	2232.18
6  	35    	2216.17	18.5273	2208.52	2339.36
7  	33    	2223.34	29.9022	2208.52	2339.36
8  	35    	2231.78	36.6801	2208.52	2339.36
9  	42    	2234.95	39.2827	2208.52	2339.36
10 	37    	2247.66	49.2062	2208.52	2339.36
11 	39    	2257.67	52.5252	2208.52	2339.36
12 	36    	2285.74	57.0219	2213.88	2339.36
13 	31    	2307.41	51.3481	2213.88	2339.36
14 	39    	2314.24	47.3936	2213.88	2339.36
15 	42    	2321.04	42.0352	2216.36	2339.36
16 	39    	2330.22	31.0843	2216.36	2339.36
17 	37    	2339.36	0      	2339.36	2339.36
18 	37    	2339.36	0      	2339.36	2339.36
19 	37    	2339.36	0      	2339.36	2339.36
20 	39    	2339.36	0      	2339.36	2339.36
21 	39    	2339.36	0      	2339.36	2339.36
22 	36    	2339.36	0      	2339.36	2339.36
23 	34    	2339.36	0      	2339.36	2339.36
24 	40    	2339.36	0      	2339.36	2339.36
25 	36    	2339.36	0      	2339.36	2339.36
26 	29    	2339.36	0      	2339.36	2339.36
27 	40    	2339.36	0      	2339.36	2339.36
28 	36    	2339.36	0      	2339.36	2339.36
29 	39    	2339.36	0      	2339.36	2339.36
30 	31    	2339.36	0      	2339.36	2339.36
31 	35    	2339.36	0      	2339.36	2339.36
32 	43    	2339.36	0      	2339.36	2339.36
33 	37    	2339.36	0      	2339.36	2339.36
34 	39    	2339.36	0      	2339.36	2339.36
35 	37    	2339.36	0      	2339.36	2339.36
36 	37    	2339.36	0      	2339.36	2339.36
37 	37    	2339.36	0      	2339.36	2339.36
38 	39    	2339.36	0      	2339.36	2339.36
39 	44    	2339.36	0      	2339.36	2339.36
40 	37    	2339.36	0      	2339.36	2339.36
41 	38    	2339.36	0      	2339.36	2339.36
42 	31    	2339.36	0      	2339.36	2339.36
43 	32    	2339.36	0      	2339.36	2339.36
44 	33    	2339.36	0      	2339.36	2339.36
45 	37    	2339.36	0      	2339.36	2339.36
46 	39    	2339.36	0      	2339.36	2339.36
47 	44    	2339.36	0      	2339.36	2339.36
48 	40    	2339.36	0      	2339.36	2339.36
49 	42    	2339.36	0      	2339.36	2339.36
50 	35    	2339.36	0      	2339.36	2339.36
51 	38    	2339.36	0      	2339.36	2339.36
52 	42    	2339.36	0      	2339.36	2339.36
53 	31    	2339.36	0      	2339.36	2339.36
54 	33    	2339.36	0      	2339.36	2339.36
55 	44    	2339.36	0      	2339.36	2339.36
56 	44    	2339.36	0      	2339.36	2339.36
57 	37    	2339.36	0      	2339.36	2339.36
58 	38    	2339.36	0      	2339.36	2339.36
59 	37    	2339.36	0      	2339.36	2339.36
60 	27    	2339.36	0      	2339.36	2339.36
61 	38    	2339.36	0      	2339.36	2339.36
62 	36    	2339.36	0      	2339.36	2339.36
63 	30    	2339.36	0      	2339.36	2339.36
64 	37    	2339.36	0      	2339.36	2339.36
65 	40    	2339.36	0      	2339.36	2339.36
66 	41    	2339.36	0      	2339.36	2339.36
67 	37    	2339.36	0      	2339.36	2339.36
68 	38    	2339.36	0      	2339.36	2339.36
69 	40    	2339.36	0      	2339.36	2339.36
70 	34    	2339.36	0      	2339.36	2339.36
71 	36    	2339.36	0      	2339.36	2339.36
72 	36    	2339.36	0      	2339.36	2339.36
73 	42    	2339.36	0      	2339.36	2339.36
74 	38    	2339.36	0      	2339.36	2339.36
75 	38    	2339.36	0      	2339.36	2339.36
76 	39    	2339.36	0      	2339.36	2339.36
77 	39    	2339.36	0      	2339.36	2339.36
78 	42    	2339.36	0      	2339.36	2339.36
79 	30    	2339.36	0      	2339.36	2339.36
80 	34    	2339.36	0      	2339.36	2339.36
81 	37    	2339.36	0      	2339.36	2339.36
82 	35    	2339.36	0      	2339.36	2339.36
83 	34    	2339.36	0      	2339.36	2339.36
84 	39    	2339.36	0      	2339.36	2339.36
85 	42    	2339.36	0      	2339.36	2339.36
86 	44    	2339.36	0      	2339.36	2339.36
87 	39    	2339.36	0      	2339.36	2339.36
88 	34    	2339.36	0      	2339.36	2339.36
89 	36    	2339.36	0      	2339.36	2339.36
90 	40    	2339.36	0      	2339.36	2339.36
91 	38    	2339.36	0      	2339.36	2339.36
92 	42    	2339.36	0      	2339.36	2339.36
93 	40    	2339.36	0      	2339.36	2339.36
94 	40    	2339.36	0      	2339.36	2339.36
95 	40    	2339.36	0      	2339.36	2339.36
96 	39    	2339.36	0      	2339.36	2339.36
97 	38    	2339.36	0      	2339.36	2339.36
98 	34    	2339.36	0      	2339.36	2339.36
99 	38    	2339.36	0      	2339.36	2339.36
100	39    	2339.36	0      	2339.36	2339.36