gen	nevals	avg  	std	min  	max  
0  	50    	-1000	0  	-1000	-1000
1  	39    	-1000	0  	-1000	-1000
2  	37    	-1000	0  	-1000	-1000
3  	39    	-1000	0  	-1000	-1000
4  	38    	-1000	0  	-1000	-1000
5  	40    	-1000	0  	-1000	-1000
6  	35    	-1000	0  	-1000	-1000
7  	33    	-1000	0  	-1000	-1000
8  	35    	-1000	0  	-1000	-1000
9  	42    	-1000	0  	-1000	-1000
10 	37    	-1000	0  	-1000	-1000
11 	39    	-1000	0  	-1000	-1000
12 	36    	-1000	0  	-1000	-1000
13 	31    	-1000	0  	-1000	-1000
14 	39    	-1000	0  	-1000	-1000
15 	42    	-1000	0  	-1000	-1000
16 	39    	-1000	0  	-1000	-1000
17 	37    	-1000	0  	-1000	-1000
18 	37    	-1000	0  	-1000	-1000
19 	37    	-1000	0  	-1000	-1000
20 	39    	-1000	0  	-1000	-1000
21 	39    	-1000	0  	-1000	-1000
22 	36    	-1000	0  	-1000	-1000
23 	34    	-1000	0  	-1000	-1000
24 	40    	-1000	0  	-1000	-1000
25 	36    	-1000	0  	-1000	-1000
26 	29    	-1000	0  	-1000	-1000
27 	40    	-1000	0  	-1000	-1000
28 	36    	-1000	0  	-1000	-1000
29 	39    	-1000	0  	-1000	-1000
30 	31    	-1000	0  	-1000	-1000
31 	35    	-1000	0  	-1000	-1000
32 	43    	-1000	0  	-1000	-1000
33 	37    	-1000	0  	-1000	-1000
34 	39    	-1000	0  	-1000	-1000
35 	37    	-1000	0  	-1000	-1000
36 	37    	-1000	0  	-1000	-1000
37 	37    	-1000	0  	-1000	-1000
38 	39    	-1000	0  	-1000	-1000
39 	44    	-1000	0  	-1000	-1000
40 	37    	-1000	0  	-1000	-1000
41 	38    	-1000	0  	-1000	-1000
42 	31    	-1000	0  	-1000	-1000
43 	32    	-1000	0  	-1000	-1000
44 	33    	-1000	0  	-1000	-1000
45 	37    	-1000	0  	-1000	-1000
46 	39    	-1000	0  	-1000	-1000
47 	44    	-1000	0  	-1000	-1000
48 	40    	-1000	0  	-1000	-1000
49 	42    	-1000	0  	-1000	-1000
50 	35    	-1000	0  	-1000	-1000
51 	38    	-1000	0  	-1000	-1000
52 	42    	-1000	0  	-1000	-1000
53 	31    	-1000	0  	-1000	-1000
54 	33    	-1000	0  	-1000	-1000
55 	44    	-1000	0  	-1000	-1000
56 	44    	-1000	0  	-1000	-1000
57 	37    	-1000	0  	-1000	-1000
58 	38    	-1000	0  	-1000	-1000
59 	37    	-1000	0  	-1000	-1000
60 	27    	-1000	0  	-1000	-1000
61 	38    	-1000	0  	-1000	-1000
62 	36    	-1000	0  	-1000	-1000
63 	30    	-1000	0  	-1000	-1000
64 	37    	-1000	0  	-1000	-1000
65 	40    	-1000	0  	-1000	-1000
66 	41    	-1000	0  	-1000	-1000
67 	37    	-1000	0  	-1000	-1000
68 	38    	-1000	0  	-1000	-1000
69 	40    	-1000	0  	-1000	-1000
70 	34    	-1000	0  	-1000	-1000
71 	36    	-1000	0  	-1000	-1000
72 	36    	-1000	0  	-1000	-1000
73 	42    	-1000	0  	-1000	-1000
74 	38    	-1000	0  	-1000	-1000
75 	38    	-1000	0  	-1000	-1000
76 	39    	-1000	0  	-1000	-1000
77 	39    	-1000	0  	-1000	-1000
78 	42    	-1000	0  	-1000	-1000
79 	30    	-1000	0  	-1000	-1000
80 	34    	-1000	0  	-1000	-1000
81 	37    	-1000	0  	-1000	-1000
82 	35    	-1000	0  	-1000	-1000
83 	34    	-1000	0  	-1000	-1000
84 	39    	-1000	0  	-1000	-1000
85 	42    	-1000	0  	-1000	-1000
86 	44    	-1000	0  	-1000	-1000
87 	39    	-1000	0  	-1000	-1000
88 	34    	-1000	0  	-1000	-1000
89 	36    	-1000	0  	-1000	-1000
90 	40    	-1000	0  	-1000	-1000
91 	38    	-1000	0  	-1000	-1000
92 	42    	-1000	0  	-1000	-1000
93 	40    	-1000	0  	-1000	-1000
94 	40    	-1000	0  	-1000	-1000
95 	40    	-1000	0  	-1000	-1000
96 	39    	-1000	0  	-1000	-1000
97 	38    	-1000	0  	-1000	-1000
98 	34    	-1000	0  	-1000	-1000
99 	38    	-1000	0  	-1000	-1000
100	39    	-1000	0  	-1000	-1000
101	40    	-1000	0  	-1000	-1000
102	36    	-1000	0  	-1000	-1000
103	40    	-1000	0  	-1000	-1000
104	36    	-1000	0  	-1000	-1000
105	44    	-1000	0  	-1000	-1000
106	35    	-1000	0  	-1000	-1000
107	39    	-1000	0  	-1000	-1000
108	40    	-1000	0  	-1000	-1000
109	34    	-1000	0  	-1000	-1000
110	42    	-1000	0  	-1000	-1000
111	35    	-1000	0  	-1000	-1000
112	37    	-1000	0  	-1000	-1000
113	39    	-1000	0  	-1000	-1000
114	40    	-1000	0  	-1000	-1000
115	40    	-1000	0  	-1000	-1000
116	36    	-1000	0  	-1000	-1000
117	26    	-1000	0  	-1000	-1000
118	41    	-1000	0  	-1000	-1000
119	39    	-1000	0  	-1000	-1000
120	38    	-1000	0  	-1000	-1000
121	35    	-1000	0  	-1000	-1000
122	42    	-1000	0  	-1000	-1000
123	42    	-1000	0  	-1000	-1000
124	31    	-1000	0  	-1000	-1000
125	41    	-1000	0  	-1000	-1000
126	38    	-1000	0  	-1000	-1000
127	38    	-1000	0  	-1000	-1000
128	33    	-1000	0  	-1000	-1000
129	39    	-1000	0  	-1000	-1000
130	35    	-1000	0  	-1000	-1000
131	32    	-1000	0  	-1000	-1000
132	32    	-1000	0  	-1000	-1000
133	35    	-1000	0  	-1000	-1000
134	41    	-1000	0  	-1000	-1000
135	37    	-1000	0  	-1000	-1000
136	40    	-1000	0  	-1000	-1000
137	36    	-1000	0  	-1000	-1000
138	37    	-1000	0  	-1000	-1000
139	38    	-1000	0  	-1000	-1000
140	39    	-1000	0  	-1000	-1000
141	35    	-1000	0  	-1000	-1000
142	38    	-1000	0  	-1000	-1000
143	37    	-1000	0  	-1000	-1000
144	35    	-1000	0  	-1000	-1000
145	32    	-1000	0  	-1000	-1000
146	35    	-1000	0  	-1000	-1000
147	40    	-1000	0  	-1000	-1000
148	43    	-1000	0  	-1000	-1000
149	38    	-1000	0  	-1000	-1000
150	37    	-1000	0  	-1000	-1000
151	37    	-1000	0  	-1000	-1000
152	36    	-1000	0  	-1000	-1000
153	41    	-1000	0  	-1000	-1000
154	41    	-1000	0  	-1000	-1000
155	39    	-1000	0  	-1000	-1000
156	40    	-1000	0  	-1000	-1000
157	33    	-1000	0  	-1000	-1000
158	37    	-1000	0  	-1000	-1000
159	35    	-1000	0  	-1000	-1000
160	38    	-1000	0  	-1000	-1000
161	37    	-1000	0  	-1000	-1000
162	33    	-1000	0  	-1000	-1000
163	30    	-1000	0  	-1000	-1000
164	37    	-1000	0  	-1000	-1000
165	39    	-1000	0  	-1000	-1000
166	39    	-1000	0  	-1000	-1000
167	34    	-1000	0  	-1000	-1000
168	38    	-1000	0  	-1000	-1000
169	39    	-1000	0  	-1000	-1000
170	31    	-1000	0  	-1000	-1000
171	40    	-1000	0  	-1000	-1000
172	35    	-1000	0  	-1000	-1000
173	26    	-1000	0  	-1000	-1000
174	43    	-1000	0  	-1000	-1000
175	37    	-1000	0  	-1000	-1000
176	37    	-1000	0  	-1000	-1000
177	31    	-1000	0  	-1000	-1000
178	38    	-1000	0  	-1000	-1000
179	38    	-1000	0  	-1000	-1000
180	33    	-1000	0  	-1000	-1000
181	38    	-1000	0  	-1000	-1000
182	37    	-1000	0  	-1000	-1000
183	36    	-1000	0  	-1000	-1000
184	39    	-1000	0  	-1000	-1000
185	36    	-1000	0  	-1000	-1000
186	37    	-1000	0  	-1000	-1000
187	36    	-1000	0  	-1000	-1000
188	43    	-1000	0  	-1000	-1000
189	38    	-1000	0  	-1000	-1000
190	39    	-1000	0  	-1000	-1000
191	39    	-1000	0  	-1000	-1000
192	37    	-1000	0  	-1000	-1000
193	35    	-1000	0  	-1000	-1000
194	39    	-1000	0  	-1000	-1000
195	38    	-1000	0  	-1000	-1000
196	42    	-1000	0  	-1000	-1000
197	37    	-1000	0  	-1000	-1000
198	41    	-1000	0  	-1000	-1000
199	39    	-1000	0  	-1000	-1000
200	33    	-1000	0  	-1000	-1000